kabupaten_kota,Tahun,bawang_daun,bawang_merah,bawang_putih,bayam,buncis,cabai_besar,cabai_rawit,kacang_panjang,kangkung,kentang,tomat,wortel,luas_bawang_daun,luas_bawang_merah,luas_bayam,luas_buncis,luas_cabai_besar,luas_cabai_rawit,luas_kacang_panjang,luas_kangkung,luas_kentang,luas_tomat,luas_wortel
Bogor,2019,26004.0,0.0,161.0,133201.0,45262.0,36699.0,21842.0,120701.0,206964.0,120.0,58348.0,21108.0,395.25,2.0,858.0,389.0,84.0,169.5,496.035,1664.0,2.0,172.5,110.25
Bogor,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.25,2.0,858.0,389.0,84.0,169.5,496.035,1664.0,2.0,172.5,110.25
Bogor,2021,39845.0,18.0,429.0,140403.0,63233.0,15014.0,31084.0,133359.0,226484.0,914.0,74994.0,16547.0,463.0,0.0,1557.0,469.0,159.0,315.0,1096.0,1664.0,7.0,326.0,115.0
Bogor,2022,38114.0,53.0,0.0,126345.0,58465.0,17256.0,48939.0,129060.0,202268.0,240.0,93817.0,15729.0,438.0,2.0,1676.0,389.0,170.0,431.0,965.0,1896.0,2.0,376.0,132.0
Bogor,2023,27322.5,520.0,0.0,137429.45,53576.6,29463.89,55772.93,122723.46,217823.7,10.0,64342.0,10482.7,352.5,5.5,1850.9,406.4,268.43,578.3,959.59,2053.3,0.5,347.5,102.0
Bogor,2024,26387.5,1322.2,0.0,126960.63,35989.0,41125.59,44778.16,135877.09,231530.97,0.0,48349.3,10873.0,335.0,18.0,1779.0,388.0,318.83,602.5,928.07,2019.7,2.0,327.1,105.5
Ciamis,2019,20631.0,877.0,20.0,3741.0,7422.0,47986.0,12676.0,8383.0,14345.0,0.0,18961.0,0.0,237.5,37.5,188.5,95.5,186.5,188.0,119.5,248.0,0.0,100.0,2.0
Ciamis,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.5,37.5,188.5,95.5,186.5,188.0,119.5,248.0,0.0,100.0,2.0
Ciamis,2021,14157.0,1864.0,0.0,7243.0,11465.0,24099.0,12253.0,11675.0,13173.0,0.0,14298.0,98.0,187.0,27.0,153.0,115.0,240.0,133.0,117.0,151.0,0.0,120.0,2.0
Ciamis,2022,18666.0,3365.0,0.0,6564.0,10115.0,19542.0,18646.0,14656.0,20869.0,0.0,11639.0,230.0,228.0,48.0,169.0,85.0,200.0,178.0,150.0,230.0,0.0,91.0,4.0
